,Sex,Age_range,Head_size,Brain_weight,Category
129,1,2,3582,1300,0
130,1,2,3666,1270,0
131,1,2,3532,1335,0
132,1,2,4046,1450,0
133,1,2,3667,1310,0
134,2,1,2857,1027,0
135,2,1,3436,1235,0
136,2,1,3791,1260,0
137,2,1,3302,1165,0
138,2,1,3104,1080,0
139,2,1,3171,1127,0
140,2,1,3572,1270,0
141,2,1,3530,1252,0
142,2,1,3175,1200,0
143,2,1,3438,1290,0
144,2,1,3903,1334,0
145,2,1,3899,1380,0
146,2,1,3401,1140,0
147,2,1,3267,1243,0
148,2,1,3451,1340,0
149,2,1,3090,1168,0
150,2,1,3413,1322,0
151,2,1,3323,1249,0
152,2,1,3680,1321,0
153,2,1,3439,1192,0
154,2,1,3853,1373,0
155,2,1,3156,1170,0
156,2,1,3279,1265,0
157,2,1,3707,1235,0
158,2,1,4006,1302,0
159,2,1,3269,1241,0
160,2,1,3071,1078,0
161,2,1,3779,1520,0
162,2,1,3548,1460,0
163,2,1,3292,1075,0
164,2,1,3497,1280,0
165,2,1,3082,1180,0
166,2,1,3248,1250,0
167,2,1,3358,1190,0
168,2,1,3803,1374,0
169,2,1,3566,1306,0
170,2,1,3145,1202,0
171,2,1,3503,1240,0
172,2,1,3571,1316,0
173,2,1,3724,1280,0
174,2,1,3615,1350,0
175,2,1,3203,1180,0
176,2,1,3609,1210,0
177,2,1,3561,1127,0
178,2,1,3979,1324,0
179,2,1,3533,1210,0
180,2,1,3689,1290,0
181,2,1,3158,1100,0
182,2,1,4005,1280,0
183,2,1,3181,1175,0
184,2,1,3479,1160,0
185,2,1,3642,1205,0
186,2,1,3632,1163,0
187,2,2,3069,1022,0
188,2,2,3394,1243,0
189,2,2,3703,1350,0
190,2,2,3165,1237,0
191,2,2,3354,1204,0
192,2,2,3000,1090,0
193,2,2,3687,1355,0
194,2,2,3556,1250,0
195,2,2,2773,1076,0
196,2,2,3058,1120,0
197,2,2,3344,1220,0
198,2,2,3493,1240,0
199,2,2,3297,1220,0
200,2,2,3360,1095,0
201,2,2,3228,1235,0
202,2,2,3277,1105,0
203,2,2,3851,1405,0
204,2,2,3067,1150,0
205,2,2,3692,1305,0
206,2,2,3402,1220,0
207,2,2,3995,1296,0
208,2,2,3318,1175,0
209,2,2,2720,955,0
210,2,2,2937,1070,0
211,2,2,3580,1320,0
212,2,2,2939,1060,0
213,2,2,2989,1130,0
214,2,2,3586,1250,0
215,2,2,3156,1225,0
216,2,2,3246,1180,0
217,2,2,3170,1178,0
218,2,2,3268,1142,0
219,2,2,3389,1130,0
220,2,2,3381,1185,0
221,2,2,2864,1012,0
222,2,2,3740,1280,0
223,2,2,3479,1103,0
224,2,2,3647,1408,0
225,2,2,3716,1300,0
226,2,2,3284,1246,0
227,2,2,4204,1380,0
228,2,2,3735,1350,0
229,2,2,3218,1060,0
230,2,2,3685,1350,0
231,2,2,3704,1220,0
232,2,2,3214,1110,0
233,2,2,3394,1215,0
234,2,2,3233,1104,0
235,2,2,3352,1170,0
236,2,2,3391,1120,0
